image,label
../../Data/train/BF-C2DL-HSC/01/t0108.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg0108.tif
../../Data/train/BF-C2DL-HSC/01/t0126.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg0126.tif
../../Data/train/BF-C2DL-HSC/01/t0183.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg0183.tif
../../Data/train/BF-C2DL-HSC/01/t0332.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg0332.tif
../../Data/train/BF-C2DL-HSC/01/t0359.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg0359.tif
../../Data/train/BF-C2DL-HSC/01/t0402.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg0402.tif
../../Data/train/BF-C2DL-HSC/01/t0473.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg0473.tif
../../Data/train/BF-C2DL-HSC/01/t0475.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg0475.tif
../../Data/train/BF-C2DL-HSC/01/t0528.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg0528.tif
../../Data/train/BF-C2DL-HSC/01/t0659.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg0659.tif
../../Data/train/BF-C2DL-HSC/01/t0701.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg0701.tif
../../Data/train/BF-C2DL-HSC/01/t0713.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg0713.tif
../../Data/train/BF-C2DL-HSC/01/t0731.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg0731.tif
../../Data/train/BF-C2DL-HSC/01/t0760.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg0760.tif
../../Data/train/BF-C2DL-HSC/01/t0806.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg0806.tif
../../Data/train/BF-C2DL-HSC/01/t0838.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg0838.tif
../../Data/train/BF-C2DL-HSC/01/t0871.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg0871.tif
../../Data/train/BF-C2DL-HSC/01/t0965.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg0965.tif
../../Data/train/BF-C2DL-HSC/01/t0988.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg0988.tif
../../Data/train/BF-C2DL-HSC/01/t0990.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg0990.tif
../../Data/train/BF-C2DL-HSC/01/t1122.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg1122.tif
../../Data/train/BF-C2DL-HSC/01/t1162.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg1162.tif
../../Data/train/BF-C2DL-HSC/01/t1170.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg1170.tif
../../Data/train/BF-C2DL-HSC/01/t1199.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg1199.tif
../../Data/train/BF-C2DL-HSC/01/t1219.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg1219.tif
../../Data/train/BF-C2DL-HSC/01/t1369.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg1369.tif
../../Data/train/BF-C2DL-HSC/01/t1397.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg1397.tif
../../Data/train/BF-C2DL-HSC/01/t1460.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg1460.tif
../../Data/train/BF-C2DL-HSC/01/t1468.tif,../../Data/train/BF-C2DL-HSC/01_GT/SEG/man_seg1468.tif
