image,label
/../../Data/train/DIC-C2DH-HeLa/01/t002.tif,/../../Data/train/DIC-C2DH-HeLa/01_GT/SEG/man_seg002.tif
/../../Data/train/DIC-C2DH-HeLa/01/t005.tif,/../../Data/train/DIC-C2DH-HeLa/01_GT/SEG/man_seg005.tif
/../../Data/train/DIC-C2DH-HeLa/01/t021.tif,/../../Data/train/DIC-C2DH-HeLa/01_GT/SEG/man_seg021.tif
/../../Data/train/DIC-C2DH-HeLa/01/t031.tif,/../../Data/train/DIC-C2DH-HeLa/01_GT/SEG/man_seg031.tif
/../../Data/train/DIC-C2DH-HeLa/01/t033.tif,/../../Data/train/DIC-C2DH-HeLa/01_GT/SEG/man_seg033.tif
/../../Data/train/DIC-C2DH-HeLa/01/t034.tif,/../../Data/train/DIC-C2DH-HeLa/01_GT/SEG/man_seg034.tif
/../../Data/train/DIC-C2DH-HeLa/01/t039.tif,/../../Data/train/DIC-C2DH-HeLa/01_GT/SEG/man_seg039.tif
/../../Data/train/DIC-C2DH-HeLa/01/t054.tif,/../../Data/train/DIC-C2DH-HeLa/01_GT/SEG/man_seg054.tif
/../../Data/train/DIC-C2DH-HeLa/02/t006.tif,/../../Data/train/DIC-C2DH-HeLa/02_GT/SEG/man_seg006.tif
/../../Data/train/DIC-C2DH-HeLa/02/t007.tif,/../../Data/train/DIC-C2DH-HeLa/02_GT/SEG/man_seg007.tif
/../../Data/train/DIC-C2DH-HeLa/02/t014.tif,/../../Data/train/DIC-C2DH-HeLa/02_GT/SEG/man_seg014.tif
/../../Data/train/DIC-C2DH-HeLa/02/t027.tif,/../../Data/train/DIC-C2DH-HeLa/02_GT/SEG/man_seg027.tif
/../../Data/train/DIC-C2DH-HeLa/02/t034.tif,/../../Data/train/DIC-C2DH-HeLa/02_GT/SEG/man_seg034.tif
/../../Data/train/DIC-C2DH-HeLa/02/t038.tif,/../../Data/train/DIC-C2DH-HeLa/02_GT/SEG/man_seg038.tif
/../../Data/train/DIC-C2DH-HeLa/02/t042.tif,/../../Data/train/DIC-C2DH-HeLa/02_GT/SEG/man_seg042.tif
/../../Data/train/DIC-C2DH-HeLa/02/t061.tif,/../../Data/train/DIC-C2DH-HeLa/02_GT/SEG/man_seg061.tif
/../../Data/train/DIC-C2DH-HeLa/02/t067.tif,/../../Data/train/DIC-C2DH-HeLa/02_GT/SEG/man_seg067.tif
