image,label
/../../Data/train/Fluo-C2DL-MSC/02/t025.tif,/../../Data/train/Fluo-C2DL-MSC/02_GT/SEG/man_seg025.tif
/../../Data/train/Fluo-C2DL-MSC/01/t035.tif,/../../Data/train/Fluo-C2DL-MSC/01_GT/SEG/man_seg035.tif
/../../Data/train/Fluo-C2DL-MSC/02/t014.tif,/../../Data/train/Fluo-C2DL-MSC/02_GT/SEG/man_seg014.tif
/../../Data/train/Fluo-C2DL-MSC/02/t008.tif,/../../Data/train/Fluo-C2DL-MSC/02_GT/SEG/man_seg008.tif
/../../Data/train/Fluo-C2DL-MSC/01/t011.tif,/../../Data/train/Fluo-C2DL-MSC/01_GT/SEG/man_seg011.tif
/../../Data/train/Fluo-C2DL-MSC/02/t020.tif,/../../Data/train/Fluo-C2DL-MSC/02_GT/SEG/man_seg020.tif
/../../Data/train/Fluo-C2DL-MSC/02/t006.tif,/../../Data/train/Fluo-C2DL-MSC/02_GT/SEG/man_seg006.tif
/../../Data/train/Fluo-C2DL-MSC/02/t034.tif,/../../Data/train/Fluo-C2DL-MSC/02_GT/SEG/man_seg034.tif
/../../Data/train/Fluo-C2DL-MSC/02/t040.tif,/../../Data/train/Fluo-C2DL-MSC/02_GT/SEG/man_seg040.tif
/../../Data/train/Fluo-C2DL-MSC/02/t022.tif,/../../Data/train/Fluo-C2DL-MSC/02_GT/SEG/man_seg022.tif
/../../Data/train/Fluo-C2DL-MSC/02/t003.tif,/../../Data/train/Fluo-C2DL-MSC/02_GT/SEG/man_seg003.tif
/../../Data/train/Fluo-C2DL-MSC/01/t019.tif,/../../Data/train/Fluo-C2DL-MSC/01_GT/SEG/man_seg019.tif
/../../Data/train/Fluo-C2DL-MSC/02/t042.tif,/../../Data/train/Fluo-C2DL-MSC/02_GT/SEG/man_seg042.tif
/../../Data/train/Fluo-C2DL-MSC/02/t027.tif,/../../Data/train/Fluo-C2DL-MSC/02_GT/SEG/man_seg027.tif
/../../Data/train/Fluo-C2DL-MSC/01/t024.tif,/../../Data/train/Fluo-C2DL-MSC/01_GT/SEG/man_seg024.tif
