image,label
/../../Data/train/Fluo-C3DH-A549-2D/01/t000_013.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_000_013.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t000_014.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_000_014.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t000_015.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_000_015.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t000_016.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_000_016.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t000_017.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_000_017.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t000_018.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_000_018.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t000_019.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_000_019.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t000_020.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_000_020.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t000_021.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_000_021.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t000_022.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_000_022.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t000_023.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_000_023.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t000_024.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_000_024.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t000_025.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_000_025.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t002_013.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_002_013.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t002_014.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_002_014.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t002_015.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_002_015.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t002_016.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_002_016.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t002_017.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_002_017.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t002_018.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_002_018.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t002_019.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_002_019.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t002_020.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_002_020.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t002_021.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_002_021.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t002_022.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_002_022.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t002_023.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_002_023.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t002_024.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_002_024.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t002_025.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_002_025.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t006_013.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_006_013.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t006_014.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_006_014.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t006_015.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_006_015.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t006_016.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_006_016.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t006_017.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_006_017.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t006_018.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_006_018.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t006_019.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_006_019.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t006_020.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_006_020.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t006_021.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_006_021.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t006_022.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_006_022.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t006_023.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_006_023.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t006_024.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_006_024.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t006_025.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_006_025.tif
/../../Data/train/Fluo-C3DH-A549-2D/01/t008_012.tif,/../../Data/train/Fluo-C3DH-A549-2D/01_GT/SEG/man_seg_008_012.tif
