image,label
/../../Data/train/Fluo-C3DH-H157-2D/01/t004_018.tif,/../../Data/train/Fluo-C3DH-H157-2D/01_GT/SEG/man_seg_004_018.tif
/../../Data/train/Fluo-C3DH-H157-2D/01/t008_029.tif,/../../Data/train/Fluo-C3DH-H157-2D/01_GT/SEG/man_seg_008_029.tif
/../../Data/train/Fluo-C3DH-H157-2D/01/t009_017.tif,/../../Data/train/Fluo-C3DH-H157-2D/01_GT/SEG/man_seg_009_017.tif
/../../Data/train/Fluo-C3DH-H157-2D/01/t011_029.tif,/../../Data/train/Fluo-C3DH-H157-2D/01_GT/SEG/man_seg_011_029.tif
/../../Data/train/Fluo-C3DH-H157-2D/01/t014_021.tif,/../../Data/train/Fluo-C3DH-H157-2D/01_GT/SEG/man_seg_014_021.tif
/../../Data/train/Fluo-C3DH-H157-2D/01/t018_031.tif,/../../Data/train/Fluo-C3DH-H157-2D/01_GT/SEG/man_seg_018_031.tif
/../../Data/train/Fluo-C3DH-H157-2D/01/t020_029.tif,/../../Data/train/Fluo-C3DH-H157-2D/01_GT/SEG/man_seg_020_029.tif
/../../Data/train/Fluo-C3DH-H157-2D/01/t024_033.tif,/../../Data/train/Fluo-C3DH-H157-2D/01_GT/SEG/man_seg_024_033.tif
/../../Data/train/Fluo-C3DH-H157-2D/01/t025_028.tif,/../../Data/train/Fluo-C3DH-H157-2D/01_GT/SEG/man_seg_025_028.tif
/../../Data/train/Fluo-C3DH-H157-2D/01/t027_025.tif,/../../Data/train/Fluo-C3DH-H157-2D/01_GT/SEG/man_seg_027_025.tif
/../../Data/train/Fluo-C3DH-H157-2D/01/t028_031.tif,/../../Data/train/Fluo-C3DH-H157-2D/01_GT/SEG/man_seg_028_031.tif
/../../Data/train/Fluo-C3DH-H157-2D/01/t029_031.tif,/../../Data/train/Fluo-C3DH-H157-2D/01_GT/SEG/man_seg_029_031.tif
/../../Data/train/Fluo-C3DH-H157-2D/01/t032_031.tif,/../../Data/train/Fluo-C3DH-H157-2D/01_GT/SEG/man_seg_032_031.tif
/../../Data/train/Fluo-C3DH-H157-2D/01/t033_029.tif,/../../Data/train/Fluo-C3DH-H157-2D/01_GT/SEG/man_seg_033_029.tif
/../../Data/train/Fluo-C3DH-H157-2D/01/t034_028.tif,/../../Data/train/Fluo-C3DH-H157-2D/01_GT/SEG/man_seg_034_028.tif
/../../Data/train/Fluo-C3DH-H157-2D/01/t037_031.tif,/../../Data/train/Fluo-C3DH-H157-2D/01_GT/SEG/man_seg_037_031.tif
/../../Data/train/Fluo-C3DH-H157-2D/01/t040_027.tif,/../../Data/train/Fluo-C3DH-H157-2D/01_GT/SEG/man_seg_040_027.tif
/../../Data/train/Fluo-C3DH-H157-2D/01/t042_033.tif,/../../Data/train/Fluo-C3DH-H157-2D/01_GT/SEG/man_seg_042_033.tif
/../../Data/train/Fluo-C3DH-H157-2D/01/t048_033.tif,/../../Data/train/Fluo-C3DH-H157-2D/01_GT/SEG/man_seg_048_033.tif
/../../Data/train/Fluo-C3DH-H157-2D/01/t049_033.tif,/../../Data/train/Fluo-C3DH-H157-2D/01_GT/SEG/man_seg_049_033.tif
/../../Data/train/Fluo-C3DH-H157-2D/01/t050_033.tif,/../../Data/train/Fluo-C3DH-H157-2D/01_GT/SEG/man_seg_050_033.tif
/../../Data/train/Fluo-C3DH-H157-2D/01/t054_032.tif,/../../Data/train/Fluo-C3DH-H157-2D/01_GT/SEG/man_seg_054_032.tif
/../../Data/train/Fluo-C3DH-H157-2D/01/t056_034.tif,/../../Data/train/Fluo-C3DH-H157-2D/01_GT/SEG/man_seg_056_034.tif
/../../Data/train/Fluo-C3DH-H157-2D/02/t002_024.tif,/../../Data/train/Fluo-C3DH-H157-2D/02_GT/SEG/man_seg_002_024.tif
/../../Data/train/Fluo-C3DH-H157-2D/02/t019_030.tif,/../../Data/train/Fluo-C3DH-H157-2D/02_GT/SEG/man_seg_019_030.tif
/../../Data/train/Fluo-C3DH-H157-2D/02/t021_052.tif,/../../Data/train/Fluo-C3DH-H157-2D/02_GT/SEG/man_seg_021_052.tif
/../../Data/train/Fluo-C3DH-H157-2D/02/t022_041.tif,/../../Data/train/Fluo-C3DH-H157-2D/02_GT/SEG/man_seg_022_041.tif
/../../Data/train/Fluo-C3DH-H157-2D/02/t025_027.tif,/../../Data/train/Fluo-C3DH-H157-2D/02_GT/SEG/man_seg_025_027.tif
/../../Data/train/Fluo-C3DH-H157-2D/02/t034_030.tif,/../../Data/train/Fluo-C3DH-H157-2D/02_GT/SEG/man_seg_034_030.tif
/../../Data/train/Fluo-C3DH-H157-2D/02/t038_045.tif,/../../Data/train/Fluo-C3DH-H157-2D/02_GT/SEG/man_seg_038_045.tif
/../../Data/train/Fluo-C3DH-H157-2D/02/t039_058.tif,/../../Data/train/Fluo-C3DH-H157-2D/02_GT/SEG/man_seg_039_058.tif
/../../Data/train/Fluo-C3DH-H157-2D/02/t042_044.tif,/../../Data/train/Fluo-C3DH-H157-2D/02_GT/SEG/man_seg_042_044.tif
/../../Data/train/Fluo-C3DH-H157-2D/02/t044_043.tif,/../../Data/train/Fluo-C3DH-H157-2D/02_GT/SEG/man_seg_044_043.tif
/../../Data/train/Fluo-C3DH-H157-2D/02/t045_041.tif,/../../Data/train/Fluo-C3DH-H157-2D/02_GT/SEG/man_seg_045_041.tif
/../../Data/train/Fluo-C3DH-H157-2D/02/t046_046.tif,/../../Data/train/Fluo-C3DH-H157-2D/02_GT/SEG/man_seg_046_046.tif
/../../Data/train/Fluo-C3DH-H157-2D/02/t047_052.tif,/../../Data/train/Fluo-C3DH-H157-2D/02_GT/SEG/man_seg_047_052.tif
/../../Data/train/Fluo-C3DH-H157-2D/02/t048_035.tif,/../../Data/train/Fluo-C3DH-H157-2D/02_GT/SEG/man_seg_048_035.tif
/../../Data/train/Fluo-C3DH-H157-2D/02/t049_037.tif,/../../Data/train/Fluo-C3DH-H157-2D/02_GT/SEG/man_seg_049_037.tif
/../../Data/train/Fluo-C3DH-H157-2D/02/t051_061.tif,/../../Data/train/Fluo-C3DH-H157-2D/02_GT/SEG/man_seg_051_061.tif
/../../Data/train/Fluo-C3DH-H157-2D/02/t052_046.tif,/../../Data/train/Fluo-C3DH-H157-2D/02_GT/SEG/man_seg_052_046.tif
/../../Data/train/Fluo-C3DH-H157-2D/02/t056_050.tif,/../../Data/train/Fluo-C3DH-H157-2D/02_GT/SEG/man_seg_056_050.tif
/../../Data/train/Fluo-C3DH-H157-2D/02/t057_056.tif,/../../Data/train/Fluo-C3DH-H157-2D/02_GT/SEG/man_seg_057_056.tif
/../../Data/train/Fluo-C3DH-H157-2D/02/t059_044.tif,/../../Data/train/Fluo-C3DH-H157-2D/02_GT/SEG/man_seg_059_044.tif
/../../Data/train/Fluo-C3DH-H157-2D/01/t000_017.tif,/../../Data/train/Fluo-C3DH-H157-2D/01_GT/SEG/man_seg_000_017.tif
/../../Data/train/Fluo-C3DH-H157-2D/01/t059_028.tif,/../../Data/train/Fluo-C3DH-H157-2D/01_GT/SEG/man_seg_059_028.tif
/../../Data/train/Fluo-C3DH-H157-2D/02/t012_053.tif,/../../Data/train/Fluo-C3DH-H157-2D/02_GT/SEG/man_seg_012_053.tif
/../../Data/train/Fluo-C3DH-H157-2D/02/t018_050.tif,/../../Data/train/Fluo-C3DH-H157-2D/02_GT/SEG/man_seg_018_050.tif
/../../Data/train/Fluo-C3DH-H157-2D/02/t028_037.tif,/../../Data/train/Fluo-C3DH-H157-2D/02_GT/SEG/man_seg_028_037.tif
/../../Data/train/Fluo-C3DH-H157-2D/02/t041_035.tif,/../../Data/train/Fluo-C3DH-H157-2D/02_GT/SEG/man_seg_041_035.tif
/../../Data/train/Fluo-C3DH-H157-2D/02/t054_042.tif,/../../Data/train/Fluo-C3DH-H157-2D/02_GT/SEG/man_seg_054_042.tif
