image,label
/../../Data/train/Fluo-C3DL-MDA231-2D/01/t000_013.tif,/../../Data/train/Fluo-C3DL-MDA231-2D/01_GT/SEG/man_seg_000_013.tif
/../../Data/train/Fluo-C3DL-MDA231-2D/01/t000_019.tif,/../../Data/train/Fluo-C3DL-MDA231-2D/01_GT/SEG/man_seg_000_019.tif
/../../Data/train/Fluo-C3DL-MDA231-2D/01/t001_007.tif,/../../Data/train/Fluo-C3DL-MDA231-2D/01_GT/SEG/man_seg_001_007.tif
/../../Data/train/Fluo-C3DL-MDA231-2D/01/t001_008.tif,/../../Data/train/Fluo-C3DL-MDA231-2D/01_GT/SEG/man_seg_001_008.tif
/../../Data/train/Fluo-C3DL-MDA231-2D/01/t002_019.tif,/../../Data/train/Fluo-C3DL-MDA231-2D/01_GT/SEG/man_seg_002_019.tif
/../../Data/train/Fluo-C3DL-MDA231-2D/01/t004_012.tif,/../../Data/train/Fluo-C3DL-MDA231-2D/01_GT/SEG/man_seg_004_012.tif
/../../Data/train/Fluo-C3DL-MDA231-2D/01/t004_016.tif,/../../Data/train/Fluo-C3DL-MDA231-2D/01_GT/SEG/man_seg_004_016.tif
/../../Data/train/Fluo-C3DL-MDA231-2D/01/t006_020.tif,/../../Data/train/Fluo-C3DL-MDA231-2D/01_GT/SEG/man_seg_006_020.tif
/../../Data/train/Fluo-C3DL-MDA231-2D/01/t007_022.tif,/../../Data/train/Fluo-C3DL-MDA231-2D/01_GT/SEG/man_seg_007_022.tif
/../../Data/train/Fluo-C3DL-MDA231-2D/01/t008_016.tif,/../../Data/train/Fluo-C3DL-MDA231-2D/01_GT/SEG/man_seg_008_016.tif
/../../Data/train/Fluo-C3DL-MDA231-2D/01/t008_022.tif,/../../Data/train/Fluo-C3DL-MDA231-2D-2D/01_GT/SEG/man_seg_008_022.tif
/../../Data/train/Fluo-C3DL-MDA231-2D/01/t009_010.tif,/../../Data/train/Fluo-C3DL-MDA231-2D/01_GT/SEG/man_seg_009_010.tif
/../../Data/train/Fluo-C3DL-MDA231-2D/01/t009_023.tif,/../../Data/train/Fluo-C3DL-MDA231-2D/01_GT/SEG/man_seg_009_023.tif
/../../Data/train/Fluo-C3DL-MDA231-2D/01/t010_014.tif,/../../Data/train/Fluo-C3DL-MDA231-2D/01_GT/SEG/man_seg_010_014.tif
/../../Data/train/Fluo-C3DL-MDA231-2D/01/t010_019.tif,/../../Data/train/Fluo-C3DL-MDA231-2D/01_GT/SEG/man_seg_010_019.tif
/../../Data/train/Fluo-C3DL-MDA231-2D/01/t011_012.tif,/../../Data/train/Fluo-C3DL-MDA231-2D/01_GT/SEG/man_seg_011_012.tif
/../../Data/train/Fluo-C3DL-MDA231-2D/01/t011_020.tif,/../../Data/train/Fluo-C3DL-MDA231-2D/01_GT/SEG/man_seg_011_020.tif
/../../Data/train/Fluo-C3DL-MDA231-2D/02/t001_017.tif,/../../Data/train/Fluo-C3DL-MDA231-2D/02_GT/SEG/man_seg_001_017.tif
/../../Data/train/Fluo-C3DL-MDA231-2D/02/t002_017.tif,/../../Data/train/Fluo-C3DL-MDA231-2D/02_GT/SEG/man_seg_002_017.tif
/../../Data/train/Fluo-C3DL-MDA231-2D/02/t003_013.tif,/../../Data/train/Fluo-C3DL-MDA231-2D/02_GT/SEG/man_seg_003_013.tif
/../../Data/train/Fluo-C3DL-MDA231-2D/02/t004_008.tif,/../../Data/train/Fluo-C3DL-MDA231-2D/02_GT/SEG/man_seg_004_008.tif
/../../Data/train/Fluo-C3DL-MDA231-2D/02/t010_018.tif,/../../Data/train/Fluo-C3DL-MDA231-2D/02_GT/SEG/man_seg_010_018.tif
/../../Data/train/Fluo-C3DL-MDA231-2D/02/t011_013.tif,/../../Data/train/Fluo-C3DL-MDA231-2D/02_GT/SEG/man_seg_011_013.tif
/../../Data/train/Fluo-C3DL-MDA231-2D/02/t005_012.tif,/../../Data/train/Fluo-C3DL-MDA231-2D/02_GT/SEG/man_seg_005_012.tif
/../../Data/train/Fluo-C3DL-MDA231-2D/02/t005_020.tif,/../../Data/train/Fluo-C3DL-MDA231-2D/02_GT/SEG/man_seg_005_020.tif
