image,label
/../../Data/train/Fluo-N3DH-CHO-2D/01/t016_000.tif,/../../Data/train/Fluo-N3DH-CHO-2D/01_GT/SEG/man_seg_016_000.tif
/../../Data/train/Fluo-N3DH-CHO-2D/01/t017_000.tif,/../../Data/train/Fluo-N3DH-CHO-2D/01_GT/SEG/man_seg_017_000.tif
/../../Data/train/Fluo-N3DH-CHO-2D/01/t026_000.tif,/../../Data/train/Fluo-N3DH-CHO-2D/01_GT/SEG/man_seg_026_000.tif
/../../Data/train/Fluo-N3DH-CHO-2D/01/t035_001.tif,/../../Data/train/Fluo-N3DH-CHO-2D/01_GT/SEG/man_seg_035_001.tif
/../../Data/train/Fluo-N3DH-CHO-2D/01/t037_001.tif,/../../Data/train/Fluo-N3DH-CHO-2D/01_GT/SEG/man_seg_037_001.tif
/../../Data/train/Fluo-N3DH-CHO-2D/01/t043_000.tif,/../../Data/train/Fluo-N3DH-CHO-2D/01_GT/SEG/man_seg_043_000.tif
/../../Data/train/Fluo-N3DH-CHO-2D/01/t074_001.tif,/../../Data/train/Fluo-N3DH-CHO-2D/01_GT/SEG/man_seg_074_001.tif
/../../Data/train/Fluo-N3DH-CHO-2D/01/t085_000.tif,/../../Data/train/Fluo-N3DH-CHO-2D/01_GT/SEG/man_seg_085_000.tif
/../../Data/train/Fluo-N3DH-CHO-2D/01/t089_001.tif,/../../Data/train/Fluo-N3DH-CHO-2D/01_GT/SEG/man_seg_089_001.tif
/../../Data/train/Fluo-N3DH-CHO-2D/01/t091_001.tif,/../../Data/train/Fluo-N3DH-CHO-2D/01_GT/SEG/man_seg_091_001.tif
/../../Data/train/Fluo-N3DH-CHO-2D/02/t001_001.tif,/../../Data/train/Fluo-N3DH-CHO-2D/02_GT/SEG/man_seg_001_001.tif
/../../Data/train/Fluo-N3DH-CHO-2D/02/t005_000.tif,/../../Data/train/Fluo-N3DH-CHO-2D/02_GT/SEG/man_seg_005_000.tif
/../../Data/train/Fluo-N3DH-CHO-2D/02/t023_001.tif,/../../Data/train/Fluo-N3DH-CHO-2D/02_GT/SEG/man_seg_023_001.tif
/../../Data/train/Fluo-N3DH-CHO-2D/02/t029_002.tif,/../../Data/train/Fluo-N3DH-CHO-2D/02_GT/SEG/man_seg_029_002.tif
/../../Data/train/Fluo-N3DH-CHO-2D/02/t046_001.tif,/../../Data/train/Fluo-N3DH-CHO-2D/02_GT/SEG/man_seg_046_001.tif
/../../Data/train/Fluo-N3DH-CHO-2D/02/t050_000.tif,/../../Data/train/Fluo-N3DH-CHO-2D/02_GT/SEG/man_seg_050_000.tif
/../../Data/train/Fluo-N3DH-CHO-2D/02/t053_000.tif,/../../Data/train/Fluo-N3DH-CHO-2D/02_GT/SEG/man_seg_053_000.tif
/../../Data/train/Fluo-N3DH-CHO-2D/02/t056_000.tif,/../../Data/train/Fluo-N3DH-CHO-2D/02_GT/SEG/man_seg_056_000.tif
/../../Data/train/Fluo-N3DH-CHO-2D/02/t059_001.tif,/../../Data/train/Fluo-N3DH-CHO-2D/02_GT/SEG/man_seg_059_001.tif
/../../Data/train/Fluo-N3DH-CHO-2D/02/t084_001.tif,/../../Data/train/Fluo-N3DH-CHO-2D/02_GT/SEG/man_seg_084_001.tif
/../../Data/train/Fluo-N3DH-CHO-2D/02/t009_001.tif,/../../Data/train/Fluo-N3DH-CHO-2D/02_GT/SEG/man_seg_009_001.tif
/../../Data/train/Fluo-N3DH-CHO-2D/02/t019_000.tif,/../../Data/train/Fluo-N3DH-CHO-2D/02_GT/SEG/man_seg_019_000.tif
/../../Data/train/Fluo-N3DH-CHO-2D/02/t054_000.tif,/../../Data/train/Fluo-N3DH-CHO-2D/02_GT/SEG/man_seg_054_000.tif
/../../Data/train/Fluo-N3DH-CHO-2D/02/t070_000.tif,/../../Data/train/Fluo-N3DH-CHO-2D/02_GT/SEG/man_seg_070_000.tif
/../../Data/train/Fluo-N3DH-CHO-2D/02/t080_001.tif,/../../Data/train/Fluo-N3DH-CHO-2D/02_GT/SEG/man_seg_080_001.tif
