image,label
../../Data/train/PhC-C2DH-U373/01/t001.tif,../../Data/train/PhC-C2DH-U373/01_GT/SEG/man_seg001.tif
../../Data/train/PhC-C2DH-U373/01/t005.tif,../../Data/train/PhC-C2DH-U373/01_GT/SEG/man_seg005.tif
../../Data/train/PhC-C2DH-U373/01/t006.tif,../../Data/train/PhC-C2DH-U373/01_GT/SEG/man_seg006.tif
../../Data/train/PhC-C2DH-U373/01/t007.tif,../../Data/train/PhC-C2DH-U373/01_GT/SEG/man_seg007.tif
../../Data/train/PhC-C2DH-U373/01/t021.tif,../../Data/train/PhC-C2DH-U373/01_GT/SEG/man_seg021.tif
../../Data/train/PhC-C2DH-U373/01/t049.tif,../../Data/train/PhC-C2DH-U373/01_GT/SEG/man_seg049.tif
../../Data/train/PhC-C2DH-U373/01/t059.tif,../../Data/train/PhC-C2DH-U373/01_GT/SEG/man_seg059.tif
../../Data/train/PhC-C2DH-U373/01/t067.tif,../../Data/train/PhC-C2DH-U373/01_GT/SEG/man_seg067.tif
../../Data/train/PhC-C2DH-U373/01/t072.tif,../../Data/train/PhC-C2DH-U373/01_GT/SEG/man_seg072.tif
../../Data/train/PhC-C2DH-U373/01/t075.tif,../../Data/train/PhC-C2DH-U373/01_GT/SEG/man_seg075.tif
../../Data/train/PhC-C2DH-U373/01/t092.tif,../../Data/train/PhC-C2DH-U373/01_GT/SEG/man_seg092.tif
../../Data/train/PhC-C2DH-U373/01/t096.tif,../../Data/train/PhC-C2DH-U373/01_GT/SEG/man_seg096.tif
../../Data/train/PhC-C2DH-U373/01/t100.tif,../../Data/train/PhC-C2DH-U373/01_GT/SEG/man_seg100.tif
../../Data/train/PhC-C2DH-U373/01/t102.tif,../../Data/train/PhC-C2DH-U373/01_GT/SEG/man_seg102.tif
../../Data/train/PhC-C2DH-U373/01/t112.tif,../../Data/train/PhC-C2DH-U373/01_GT/SEG/man_seg112.tif
../../Data/train/PhC-C2DH-U373/02/t017.tif,../../Data/train/PhC-C2DH-U373/02_GT/SEG/man_seg017.tif
../../Data/train/PhC-C2DH-U373/02/t019.tif,../../Data/train/PhC-C2DH-U373/02_GT/SEG/man_seg019.tif
../../Data/train/PhC-C2DH-U373/02/t020.tif,../../Data/train/PhC-C2DH-U373/02_GT/SEG/man_seg020.tif
../../Data/train/PhC-C2DH-U373/02/t022.tif,../../Data/train/PhC-C2DH-U373/02_GT/SEG/man_seg022.tif
../../Data/train/PhC-C2DH-U373/02/t035.tif,../../Data/train/PhC-C2DH-U373/02_GT/SEG/man_seg035.tif
../../Data/train/PhC-C2DH-U373/02/t036.tif,../../Data/train/PhC-C2DH-U373/02_GT/SEG/man_seg036.tif
../../Data/train/PhC-C2DH-U373/02/t049.tif,../../Data/train/PhC-C2DH-U373/02_GT/SEG/man_seg049.tif
../../Data/train/PhC-C2DH-U373/02/t051.tif,../../Data/train/PhC-C2DH-U373/02_GT/SEG/man_seg051.tif
../../Data/train/PhC-C2DH-U373/02/t052.tif,../../Data/train/PhC-C2DH-U373/02_GT/SEG/man_seg052.tif
../../Data/train/PhC-C2DH-U373/02/t059.tif,../../Data/train/PhC-C2DH-U373/02_GT/SEG/man_seg059.tif
../../Data/train/PhC-C2DH-U373/02/t074.tif,../../Data/train/PhC-C2DH-U373/02_GT/SEG/man_seg074.tif
../../Data/train/PhC-C2DH-U373/02/t077.tif,../../Data/train/PhC-C2DH-U373/02_GT/SEG/man_seg077.tif
../../Data/train/PhC-C2DH-U373/02/t085.tif,../../Data/train/PhC-C2DH-U373/02_GT/SEG/man_seg085.tif
../../Data/train/PhC-C2DH-U373/02/t092.tif,../../Data/train/PhC-C2DH-U373/02_GT/SEG/man_seg092.tif
../../Data/train/PhC-C2DH-U373/02/t112.tif,../../Data/train/PhC-C2DH-U373/02_GT/SEG/man_seg112.tif
../../Data/train/PhC-C2DH-U373/02/t010.tif,../../Data/train/PhC-C2DH-U373/02_GT/SEG/man_seg010.tif
../../Data/train/PhC-C2DH-U373/02/t026.tif,../../Data/train/PhC-C2DH-U373/02_GT/SEG/man_seg026.tif
../../Data/train/PhC-C2DH-U373/02/t041.tif,../../Data/train/PhC-C2DH-U373/02_GT/SEG/man_seg041.tif
